Season,name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm
2024,"Adams, Austin",613534,R,SL,258,87.9,2984,11.3,0.455584293,0.338129181,67.53672256,74.72977488,Slider,34,225,210,-7.193052314,7.193052314,15,3,45,3,30,0,15
2024,"Strickland, Hunter",519326,R,SL,186,84.6,2749,12.5,0.516104996,0.393480356,79.69574311,106.7687897,Slider,39,195,150,-27.07304658,27.07304658,45,3,15,2,30,0,45
2024,"Sánchez, Cristopher",650911,L,SL,139,83.4,2035,6,0.274040891,0.351469249,315.1259344,350.1975155,Slider,35,450,375,-35.0715811,35.0715811,75,7,30,6,15,1,15
2024,"Canning, Griffin",656288,R,SL,226,87.8,2619,3.2,0.136743114,0.118127673,6.390525767,343.4302795,Slider,12,345,390,22.96024631,22.96024631,-45,5,45,6,30,0,45
2024,"Alcala, Jorge",660896,R,SL,100,88.7,2481,5.4,0.23856932,0.245455715,175.1161006,132.252185,Slider,25,735,90,42.86391563,42.86391563,-75,12,15,1,30,1,15
2024,"Pepiot, Ryan",686752,R,SL,160,88.7,2539,10.1,0.441805696,0.505650668,159.8220273,130.513137,Slider,51,765,105,29.30889031,29.30889031,-60,12,45,1,45,1,0
2024,"Hoffman, Jeff",656546,R,SL,122,86.1,2812,8.5,0.345740105,0.310084386,56.41632089,52.6609664,Slider,31,240,255,3.755354489,3.755354489,-15,4,0,4,15,0,15
2024,"López, Jorge",605347,R,SL,58,86.2,2365,8.1,0.354082292,0.33649747,70.52877255,95.93613093,Slider,34,225,165,-25.40735838,25.40735838,60,3,45,2,45,1,0
2024,"Funderburk, Kody",681892,L,SL,131,82.6,2448,14.9,0.638105019,0.536743032,305.7635404,282.5448812,Slider,54,465,510,23.21865919,23.21865919,-45,7,45,8,30,0,45
2024,"Soriano, George",666277,R,SL,91,83.6,2636,9.7,0.406017692,0.312188228,54.89391941,83.91411995,Slider,31,255,195,-29.02020053,29.02020053,60,4,15,3,15,1,0
2024,"Campbell, Isaiah",663462,R,SL,54,86.7,2683,5.9,0.243447773,0.271051068,110.3729703,87.56728514,Slider,27,135,180,22.8056852,22.8056852,-45,2,15,3,0,0,45
2024,"Leone, Dominic",608678,R,SL,56,84.4,2506,7.9,0.338562342,0.419671333,73.16399265,49.44842972,Slider,42,210,255,23.71556293,23.71556293,-45,3,30,4,15,0,45
2024,"Winn, Keaton",676775,R,SL,94,87.8,2265,2.7,0.121205244,0.11520923,125.3654288,69.72522796,Slider,12,105,225,55.64020087,55.64020087,-120,1,45,3,45,2,0
2024,"Soroka, Michael",647336,R,SL,277,81.8,2816,8,0.326311063,0.431727174,58.64724683,48.25335018,Slider,43,240,270,10.39389665,10.39389665,-30,4,0,4,30,0,30
2024,"Paddack, Chris",663978,R,SL,139,86.2,2051,5,0.239387524,0.366870862,200.5986959,155.3794259,Slider,37,675,765,45.21927005,45.21927005,-90,11,15,12,45,1,30
2024,"Díaz, Alexis",664747,R,SL,153,86.8,2619,4.8,0.202288756,0.248024118,151.841262,115.6478089,Slider,25,60,135,36.19345314,36.19345314,-75,1,0,2,15,1,15
2024,"Staumont, Josh",622251,R,SL,62,86.3,2594,5.4,0.234848239,0.264272675,74.36291468,47.06708826,Slider,26,210,270,27.29582642,27.29582642,-60,3,30,4,30,1,0
