year,name,player_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2024,"Tonkin, Michael",543859,Yankees,NYY,R,92.8,202,360,7.346938776,0.561111111,SI,Sinker,20.8,-25,-4.2,-17,14.5,-15.7,-1.2,-7,0.084291188,0.195402299
2024,"Tonkin, Michael",543859,Yankees,NYY,R,83,126,360,7.346938776,0.35,SL,Slider,42.5,-38.7,3.8,10,2.9,7.9,-5,-63,0.891089109,0.02640264
2024,"Suárez, Albert",544150,Orioles,BAL,R,95,225,390,8.666666667,0.576923077,FF,4-Seam Fastball,14,-13.6,-0.5,-3,10.2,-6.6,3.6,54,0.397905759,0.879581152
2024,"Suárez, Albert",544150,Orioles,BAL,R,85.5,76,390,8.666666667,0.194871795,CH,Changeup,30.3,-31.4,-1.1,-3,16.6,-14.1,2.5,17,0.381974249,0.845493562
2024,"Suárez, Albert",544150,Orioles,BAL,R,87.1,74,390,8.666666667,0.18974359,FC,Cutter,26.3,-28.9,2.5,9,1,3.6,-2.6,-73,0.867924528,0.125786164
2024,"Lorenzen, Michael",547179,Rangers,TEX,R,94.1,174,665,13.85416667,0.261654135,FF,4-Seam Fastball,15.1,-14.9,-0.2,-1,10.9,-8,2.8,35,0.460732984,0.829842932
2024,"Lorenzen, Michael",547179,Rangers,TEX,R,93.8,146,665,13.85416667,0.219548872,SI,Sinker,20.7,-23,-2.2,-10,16.5,-15.4,1.2,8,0.249042146,0.689655172
2024,"Lorenzen, Michael",547179,Rangers,TEX,R,86,125,665,13.85416667,0.187969925,SL,Slider,37.8,-35.3,2.4,7,3.3,5.1,-1.7,-34,0.772277228,0.346534653
2024,"Lorenzen, Michael",547179,Rangers,TEX,R,84.8,124,665,13.85416667,0.186466165,CH,Changeup,29.4,-31.6,-2.3,-7,16,-14.2,1.8,13,0.248927039,0.746781116
2024,"Kelly, Michael",547184,Athletics,OAK,R,83.2,201,370,7.551020408,0.543243243,ST,Sweeper,43.6,-40,3.6,9,16.6,14.1,2.5,18,0.817391304,0.808695652
2024,"Kelly, Michael",547184,Athletics,OAK,R,94.9,113,370,7.551020408,0.305405405,FF,4-Seam Fastball,17,-14.3,-2.8,-20,5.9,-7.7,-1.8,-24,0.104712042,0.22513089
2024,"Kelly, Michael",547184,Athletics,OAK,R,88.4,50,370,7.551020408,0.135135135,SL,Slider,32.8,-32.6,0.3,1,7.2,3.9,3.3,87,0.514851485,0.841584158
2024,"Chapman, Aroldis",547973,Pirates,PIT,L,96.8,130,328,6.833333333,0.396341463,FF,4-Seam Fastball,12.2,-12.6,0.5,4,4,-6.8,-2.8,-41,0.615183246,0.154450262
2024,"Chapman, Aroldis",547973,Pirates,PIT,L,86,96,328,6.833333333,0.292682927,SL,Slider,31.2,-35.1,-3.9,-11,10.5,4.5,5.9,131,0.095709571,0.933993399
2024,"Chapman, Aroldis",547973,Pirates,PIT,L,98.5,74,328,6.833333333,0.225609756,SI,Sinker,13.2,-16.4,-3.2,-19,12.2,-13.8,-1.6,-12,0.141762452,0.149425287
2024,"Raley, Brooks",548384,Mets,NYM,L,80.5,57,119,2.531914894,0.478991597,ST,Sweeper,40.4,-41.3,-1,-2,19.5,14.7,4.9,33,,
2024,"Stripling, Ross",548389,Athletics,OAK,R,91.6,257,835,17.04081633,0.307784431,FF,4-Seam Fastball,14.6,-14.9,0.2,2,4.4,-5.6,-1.2,-21,0.547120419,0.308900524
2024,"Stripling, Ross",548389,Athletics,OAK,R,85.3,229,835,17.04081633,0.274251497,SL,Slider,33.4,-35.8,-2.4,-7,2.3,3.2,-0.9,-28,0.198019802,0.432343234
2024,"Stripling, Ross",548389,Athletics,OAK,R,82.6,163,835,17.04081633,0.195209581,CH,Changeup,28.6,-30.6,-2,-7,8.8,-12.6,-3.8,-30,0.283261803,0.051502146
2024,"Stripling, Ross",548389,Athletics,OAK,R,90.3,144,835,17.04081633,0.17245509,SI,Sinker,21.7,-22.2,-0.5,-2,14.3,-13.8,0.5,3,0.475095785,0.517241379
2024,"Kittredge, Andrew",552640,Cardinals,STL,R,87.9,142,272,5.787234043,0.522058824,SL,Slider,34.5,-33,1.6,5,6.3,4.1,2.1,52,0.699669967,0.772277228
2024,"Kittredge, Andrew",552640,Cardinals,STL,R,94.6,98,272,5.787234043,0.360294118,SI,Sinker,22.2,-21.7,0.5,2,16.3,-15.1,1.1,8,0.616858238,0.655172414
2024,"García, Yimi",554340,Blue Jays,TOR,R,96.7,77,259,5.630434783,0.297297297,FF,4-Seam Fastball,14.4,-15.2,0.8,5,10.7,-9.3,1.4,15,0.685863874,0.672774869
2024,"García, Yimi",554340,Blue Jays,TOR,R,96,59,259,5.630434783,0.227799228,SI,Sinker,23.1,-24.3,-1.2,-5,17.9,-16.1,1.8,11,0.390804598,0.831417625
2024,"García, Yimi",554340,Blue Jays,TOR,R,84.6,52,259,5.630434783,0.200772201,CU,Curveball,39.3,-44.9,-5.6,-12,10.9,9.4,1.5,16,0.073684211,0.673684211
2024,"Wheeler, Zack",554430,Phillies,PHI,R,94.8,414,990,20.625,0.418181818,FF,4-Seam Fastball,15.4,-14.9,-0.5,-3,10.5,-8.3,2.2,26,0.397905759,0.769633508
2024,"Wheeler, Zack",554430,Phillies,PHI,R,94.1,181,990,20.625,0.182828283,SI,Sinker,24.1,-23.5,0.6,2,17.9,-15.9,2,12,0.632183908,0.877394636
